Longitude,Latitude,Community,IncorporationType,AreaType,Population,Source,Year
-148.9168668,63.7323200700001,Denali Park,CDP,Community,185,DOLWD Estimate,2011
-143.7278962,66.65040098,Chalkyitsik,Unincorporated CDP,Community,69,DOLWD Estimate,2011
-149.622229,60.91793289,Hope,CDP,Community,192,DOLWD Estimate,2011
-160.3644017,61.5123629700001,Lower Kalskag,2nd Class City,Community,287,DCCED Commissioner Certified,2011
-133.6072167,56.3223510700001,Port Protection,Unincorporated CDP,Community,48,DOLWD Estimate,2011
-162.2645069,64.61655211,Elim,2nd Class City,Community,332,DCCED Commissioner Certified,2011
-150.6371652,64.9958868300001,Manley Hot Springs,Unincorporated CDP,Community,89,DOLWD Estimate,2011
-135.4457083,58.10953807,Hoonah,1st Class City,Community,753,DCCED Commissioner Certified,2011
-152.8834419,57.86662239,Port Lions,2nd Class City,Community,204,DCCED Commissioner Certified,2011
-146.7789165,61.9898422000001,Nelchina,Unincorporated CDP,Community,59,DOLWD Estimate,2011
-145.7366682,64.04716726,Delta Junction,2nd Class City,Community,991,DCCED Commissioner Certified,2011
-159.4841633,55.9034342200001,Ivanof Bay,CDP,Place of Interest,7,DOLWD Estimate,2011
-135.5462038,59.31301367,Lutak,CDP,Place of Interest,49,DOLWD Estimate,2011
-161.2018498,56.0012060400001,Nelson Lagoon,CDP,Community,52,DOLWD Estimate,2011
-162.7149874,55.2065679500001,Cold Bay,2nd Class City,Community,95,DCCED Commissioner Certified,2011
-161.2300017,60.90749213,Akiak,2nd Class City,Community,367,DCCED Commissioner Certified,2011
-157.478047,59.3502442700001,Ekwok,2nd Class City,Community,115,DCCED Commissioner Certified,2011
-145.3053,61.955,Copper Center,Unincorporated CDP,Community,328,DOLWD Estimate,2011
-161.4375467,60.81122837,Kwethluk,2nd Class City,Community,741,DCCED Commissioner Certified,2011
-135.509866,58.0558686300001,Game Creek,Unincorporated CDP,Place of Interest,18,DOLWD Estimate,2011
-151.5057845,66.92462485,Evansville,Unincorporated CDP,Place of Interest,15,DOLWD Estimate,2011
-161.0468258,66.83334504,Noorvik,2nd Class City,Community,643,DCCED Commissioner Certified,2011
-166.849516,65.2618559900001,Port Clarence,Unincorporated CDP,Place of Interest,24,DOLWD Estimate,2011
-162.0881695,61.8814414300001,Marshall,2nd Class City,Community,407,DCCED Commissioner Certified,2011
-157.4235473,70.48213652,Atqasuk,2nd Class City,Community,244,DCCED Commissioner Certified,2011
-162.5194696,60.89457329,Kasigluk,Unincorporated CDP,Community,569,DOLWD Estimate,2011
-163.4147388,54.8550308600001,False Pass,2nd Class City,Community,37,DCCED Commissioner Certified,2011
-154.8575714,59.9678738700001,Nondalton,2nd Class City,Community,178,DCCED Commissioner Certified,2011
-133.0846458,55.5574327800001,Big Salt,Unincorporated,Community,0,DOLWD Estimate,2011
-162.5929893,66.8966754200001,Kotzebue,2nd Class City,Community,3224,DCCED Commissioner Certified,2011
-131.6373989,55.6028174200001,Loring,CDP,Place of Interest,4,DOLWD Estimate,2011
-158.5377611,56.31042481,Chignik Lagoon,CDP,Community,78,DOLWD Estimate,2011
-141.9341786,62.9617709300001,Northway,Unincorporated CDP,Place of Interest,71,DOLWD Estimate,2011
-161.7531971,60.7082335600001,Napaskiak,2nd Class City,Community,428,DCCED Commissioner Certified,2011
