Longitude,Latitude,Community,School,SchoolDistrict,Year,In_Cohort,Graduates,GraduationRate,K8Enrollment,HSEnrollment,TotalEnrollmentK12,Is_HighSchool,TotalTeacherCount,StudentTeacherRatio
-163.035085906,64.542829931,Golovin,Martin L. Olson School,Bering Strait School District,2018,3,3,1.0,34,11,45,Yes,6,8.67
-149.363290586,61.6082157610001,Wasilla,Mat-Su Career & Tech Ed High School,Matanuska-Susitna Borough School District,2018,126,121,0.9603,13,653,666,Yes,37,18.44
-149.434226737,61.579600514,Wasilla,Mat-Su Central School,Matanuska-Susitna Borough School District,2018,229,163,0.7118,1020,723,1743,Yes,22,84.94
-149.350957851,61.605884947,Wasilla,Mat-Su Day School,Matanuska-Susitna Borough School District,2018,17,0,0.0,30,59,89,Yes,15,5.97
-149.241914165,61.57944329,Palmer,Mat-Su Middle College School,Matanuska-Susitna Borough School District,2018,85,84,0.9882,0,161,161,Yes,1,161
-149.104325109,61.5859501990001,Wasilla,Mat-Su Youth Facility,Matanuska-Susitna Borough School District,2018,7,4,0.5714,1,10,11,Yes,1,11
-152.087943756,65.1711695440001,Tanana,Maudrey J. Sommer School,Tanana City School District,2018,5,4,0.8,34,13,47,Yes,4,11.75
-155.596089598,62.9534149510001,McGrath,McGrath School,Iditarod Area School District,2018,2,0,0.0,35,4,39,Yes,2,23.56
-149.8320223,61.1874211150001,Anchorage,McLaughlin Secondary School,Anchorage School District,2018,27,5,0.1852,4,73,77,Yes,13,5.94
-151.257838015,59.746017893,Kachemak,McNeil Canyon Elementary,Kenai Peninsula Borough School District,2018,,,,123,0,123,No,10,13.16
-164.535479056,67.7258295,Kivalina,McQueen School,Northwest Arctic Borough School District,2018,6,5,0.8333,118,25,143,Yes,8,19.38
-157.418524832,70.481187559,Atqasuk,Meade River School,North Slope Borough School District,2018,5,3,0.6,46,21,67,Yes,9,8.71
-149.621284744,61.610695885,Meadow Lakes,Meadow Lakes Elementary,Matanuska-Susitna Borough School District,2018,,,,394,0,394,No,27,15.74
-149.931623907,61.129566772,Anchorage,Mears Middle School,Anchorage School District,2018,,,,802,0,802,No,45,19.67
-134.582160836,58.402347229,Juneau,Mendenhall River Community School,Juneau School District,2018,,,,321,0,321,No,27,14.93
-143.797606046,62.9294013300001,Mentasta Lake,Mentasta Lake School,Alaska Gateway School District,2018,0,0,,24,7,31,Yes,3,10.73
-155.466980761,64.741239352,Ruby,Merreline A Kangas School,Yukon-Koyukuk School District,2018,0,0,,26,2,28,Yes,4,7.75
-158.661292206,56.9241282570001,Port Heiden,Meshik School,Lake and Peninsula Borough School District,2018,0,0,,17,6,23,Yes,3,9
-131.57724653,55.1262152410001,Metlakatla,Metlakatla High School,Annette Island School District,2018,28,27,0.9643,0,89,89,Yes,12,18.16
-149.634736022,61.5970245350001,Meadow Lakes,Midnight Sun Family Learning Center,Matanuska-Susitna Borough School District,2018,,,,192,0,192,No,8,24.77
-161.770558516,60.8021066650001,Bethel,Mikelnguut Elitnaurviat,Lower Kuskokwim School District,2018,,,,248,0,248,No,18,17.71
-149.348286405,65.1521498100001,Minto,Minto School,Yukon-Koyukuk School District,2018,6,5,0.8333,37,13,50,Yes,6,9.5
-149.424966694,61.4273778790001,Peters Creek,Mirror Lake Middle School,Anchorage School District,2018,,,,683,0,683,No,40,17.48
-132.956130905,56.8151753670001,Petersburg,Mitkof Middle School,Petersburg Borough School District,2018,,,,91,0,91,No,12,12.4
-134.426662987,58.3035103060001,Auke Bay,Montessori Borealis Public Alternative School,Juneau School District,2018,,,,177,0,177,No,14,15.56
-149.36764939,60.4875271750001,Moose Pass,Moose Pass School,Kenai Peninsula Borough School District,2018,,,,13,0,13,No,3,10.83
-149.807065046,61.2316991870001,Anchorage,Mountain View Elementary,Anchorage School District,2018,,,,257,0,257,No,23,13.78
-163.728574032,62.0891438100001,Mountain Village,Mountain Village School,Lower Yukon School District,2018,15,7,0.4667,158,39,197,Yes,16,12.31
-145.756303709,60.5434518810001,Cordova,Mt. Eccles Elementary,Cordova City School District,2018,,,,167,0,167,No,12,15.74
-135.351688016,57.052039086,Sitka,Mt. Edgecumbe High School,Mt. Edgecumbe High School,2018,101,100,0.9901,0,424,424,Yes,27,17.31
-149.818745061,61.2429304660001,Anchorage,Mt. Spurr Elementary,Anchorage School District,2018,,,,256,0,256,No,20,16.02
-151.176784625,60.56544789,Kenai,Mt. View Elementary,Kenai Peninsula Borough School District,2018,,,,466,0,466,No,33,15.41
-149.71989702,61.218393152,Anchorage,Muldoon Elementary,Anchorage School District,2018,,,,454,0,454,No,32,14.96
-157.00517662,58.7330769280001,South Naknek,Naknek Elementary,Bristol Bay Borough School District,2018,,,,48,0,48,No,4,17.12
-151.919942808,59.3544359300001,Nanwalek,Nanwalek School,Kenai Peninsula Borough School District,2018,2,2,1.0,62,15,77,Yes,11,11.65
-162.988496762,67.5718126140001,Noatak,Napaaqtugmiut School,Northwest Arctic Borough School District,2018,10,10,1.0,134,45,179,Yes,12,16.48
-133.202697287,55.868971408,Naukati Bay,Naukati School,Southeast Island School District,2018,0,0,,15,1,16,Yes,5,8
-164.722054852,60.4769735460001,Nightmute,Negtemiut Elitnaurviat School,Lower Kuskokwim School District,2018,7,1,0.1429,55,20,75,Yes,5,17
-165.108956073,60.533103248,Toksook Bay,Nelson Island Area School,Lower Kuskokwim School District,2018,16,9,0.5625,126,66,192,Yes,13,15.54
-149.088293029,64.5618628190001,Nenana,Nenana City School,Nenana City School District,2018,30,27,0.9,61,118,179,Yes,18,12.43
-154.906095878,59.7547015200001,Newhalen,Newhalen School,Lake and Peninsula Borough School District,2018,4,3,0.75,43,12,55,Yes,8,8.38
-149.743038328,61.208417538,Anchorage,Nicholas J. Begich Middle School,Anchorage School District,2018,,,,1007,0,1007,No,53,19.7
-151.296237014,60.735735612,Salamatof,Nikiski Middle/Senior High School,Kenai Peninsula Borough School District,2018,43,41,0.9535,168,200,368,Yes,35,13.99
-151.293777534,60.660156031,Nikiski,Nikiski North Star Elementary,Kenai Peninsula Borough School District,2018,,,,348,0,348,No,27,14.63
-151.61313679,59.8113271440001,Nikolaevsk,Nikolaevsk School,Kenai Peninsula Borough School District,2018,8,8,1.0,51,28,79,Yes,15,14.96
-151.675123384,60.04305356,Ninilchik,Ninilchik School,Kenai Peninsula Borough School District,2018,9,6,0.6667,66,34,100,Yes,13,11.13
-165.383668614,64.497587283,Nome,Nome Elementary,Nome School District,2018,,,,386,0,386,No,28,14.64
-165.386141611,64.496351594,Nome,Nome Youth Facility,Nome School District,2018,1,0,0.0,3,1,4,Yes,1,8
-165.405088735,64.5423392430001,Nome,Nome-Beltz Jr/Sr High,(Not Available),2018,42,33,0.7857,71,161,232,Yes,(Not Available),(Not Available)
-154.856985677,59.966843032,Nondalton,Nondalton School,Lake and Peninsula Borough School District,2018,2,1,0.5,20,6,26,Yes,5,5.31
